2016-07-11 16-14-18 INFO  [main] org.eclipse.jetty.server.AbstractConnector  - Started ServerConnector@f68f0dc{HTTP/1.1,[http/1.1]}{0.0.0.0:2222}
2016-07-11 16-14-18 INFO  [main] org.eclipse.jetty.server.Server  - Started @809ms
2016-07-11 16-14-48 INFO  [main] org.eclipse.jetty.util.log  - Logging initialized @186ms
2016-07-11 16-14-48 WARN  [main] org.eclipse.jetty.server.handler.ContextHandler  - o.e.j.s.ServletContextHandler@7a0ac6e3{/,null,null} contextPath ends with /*
2016-07-11 16-14-48 WARN  [main] org.eclipse.jetty.server.handler.ContextHandler  - Empty contextPath
2016-07-11 16-14-48 INFO  [main] org.eclipse.jetty.server.Server  - jetty-9.3.9.v20160517
2016-07-11 16-14-49 INFO  [main] org.eclipse.jetty.server.handler.ContextHandler  - Started o.e.j.s.ServletContextHandler@7a0ac6e3{/,null,AVAILABLE}
2016-07-11 16-14-49 INFO  [main] org.eclipse.jetty.server.AbstractConnector  - Started ServerConnector@f58853c{HTTP/1.1,[http/1.1]}{0.0.0.0:2222}
2016-07-11 16-14-49 INFO  [main] org.eclipse.jetty.server.Server  - Started @729ms
2016-07-11 16-18-56 INFO  [main] org.eclipse.jetty.util.log  - Logging initialized @314ms
2016-07-11 16-18-56 WARN  [main] org.eclipse.jetty.server.handler.ContextHandler  - o.e.j.s.ServletContextHandler@7a0ac6e3{/,null,null} contextPath ends with /*
2016-07-11 16-18-56 WARN  [main] org.eclipse.jetty.server.handler.ContextHandler  - Empty contextPath
2016-07-11 16-18-56 INFO  [main] org.eclipse.jetty.server.Server  - jetty-9.3.9.v20160517
2016-07-11 16-18-56 INFO  [main] org.eclipse.jetty.server.handler.ContextHandler  - Started o.e.j.s.ServletContextHandler@7a0ac6e3{/,null,AVAILABLE}
2016-07-11 16-18-56 INFO  [main] org.eclipse.jetty.server.AbstractConnector  - Started ServerConnector@3b994ae3{HTTP/1.1,[http/1.1]}{0.0.0.0:2222}
2016-07-11 16-18-56 INFO  [main] org.eclipse.jetty.server.Server  - Started @888ms
2016-07-11 16-42-15 INFO  [main] org.eclipse.jetty.util.log  - Logging initialized @258ms
2016-07-11 16-42-15 WARN  [main] org.eclipse.jetty.server.handler.ContextHandler  - o.e.j.s.ServletContextHandler@7a0ac6e3{/,null,null} contextPath ends with /*
2016-07-11 16-42-15 WARN  [main] org.eclipse.jetty.server.handler.ContextHandler  - Empty contextPath
2016-07-11 16-42-15 INFO  [main] org.eclipse.jetty.server.Server  - jetty-9.3.9.v20160517
2016-07-11 16-42-16 INFO  [main] org.eclipse.jetty.server.handler.ContextHandler  - Started o.e.j.s.ServletContextHandler@7a0ac6e3{/,null,AVAILABLE}
2016-07-11 16-42-16 INFO  [main] org.eclipse.jetty.server.AbstractConnector  - Started ServerConnector@49b2a47d{HTTP/1.1,[http/1.1]}{0.0.0.0:2222}
2016-07-11 16-42-16 INFO  [main] org.eclipse.jetty.server.Server  - Started @814ms
2016-07-11 17-19-50 INFO  [main] org.eclipse.jetty.util.log  - Logging initialized @195ms
2016-07-11 17-19-50 WARN  [main] org.eclipse.jetty.server.handler.ContextHandler  - o.e.j.s.ServletContextHandler@7a0ac6e3{/,null,null} contextPath ends with /*
2016-07-11 17-19-50 WARN  [main] org.eclipse.jetty.server.handler.ContextHandler  - Empty contextPath
2016-07-11 17-19-50 INFO  [main] org.eclipse.jetty.server.Server  - jetty-9.3.9.v20160517
2016-07-11 17-19-50 INFO  [main] org.eclipse.jetty.server.handler.ContextHandler  - Started o.e.j.s.ServletContextHandler@7a0ac6e3{/,null,AVAILABLE}
2016-07-11 17-19-50 INFO  [main] org.eclipse.jetty.server.AbstractConnector  - Started ServerConnector@5d82dbc0{HTTP/1.1,[http/1.1]}{0.0.0.0:2222}
2016-07-11 17-19-50 INFO  [main] org.eclipse.jetty.server.Server  - Started @749ms
